title,title_clean,release_year,budget,revenue,genres_clean,on_netflix
Chisum,chisum,1970,6000000.0,,Western,False
Defence of the Realm,defence of the realm,1986,,750000.0,"Action, Thriller",False
Opportunity Knocks,opportunity knocks,1990,,11359129.0,Comedy,False
Shattered,shattered,1991,22000000.0,11511031.0,"Mystery, Thriller",False
Dumb and Dumberer: When Harry Met Lloyd,dumb and dumberer: when harry met lloyd,2003,19000000.0,39267515.0,Comedy,True
From Justin to Kelly,from justin to kelly,2003,12000000.0,4922166.0,"Comedy, Romance",False
Hollywood Homicide,hollywood homicide,2003,75000000.0,51142659.0,"Action, Adventure, Comedy, Thriller",False
The Heart of Me,the heart of me,2002,7000000.0,,"Drama, Romance",False
Alex & Emma,alex & emma,2003,30000000.0,15368897.0,"Comedy, Romance",False
The Satanic Rites of Dracula,the satanic rites of dracula,1973,,544476.0,Horror,False
28 Days Later,28 days later,2002,5000000.0,82719885.0,"Horror, Thriller, Science Fiction",False
Charlie's Angels: Full Throttle,charlie's angels: full throttle,2003,120000000.0,259175788.0,"Action, Adventure, Comedy",True
Ali: Fear Eats the Soul,ali: fear eats the soul,1974,130000.0,,"Romance, Drama",False
"Bodies, Rest & Motion","bodies, rest & motion",1993,2500000.0,764083.0,"Drama, Romance",False
You Only Live Once,you only live once,1937,575.0,,"Crime, Drama, Romance",False
Anastasia,anastasia,1956,3520000.0,,"Drama, Comedy, Romance",False
The Babe,the babe,1992,,17530973.0,Drama,False
Flight of the Intruder,flight of the intruder,1991,35000000.0,,"Action, Adventure, Drama, Thriller",False
Fun with Dick and Jane,fun with dick and jane,1977,3000000.0,,"Comedy, Crime",False
Mr. Baseball,mr. baseball,1992,,20000000.0,"Comedy, Romance",False
Never on Sunday,never on sunday,1960,151000.0,8000000.0,"Drama, Comedy, Romance",False
Nuts,nuts,1987,25000000.0,,Drama,False
Scaramouche,scaramouche,1952,3005000.0,6746000.0,"Action, Adventure, Drama",False
The Advocate,the advocate,1993,,667.0,"Drama, History, Thriller, Crime, Romance, Foreign, Comedy",False
Hulk,hulk,2003,137000000.0,245360480.0,"Drama, Action, Science Fiction",False
"Legally Blonde 2: Red, White & Blonde","legally blonde 2: red, white & blonde",2003,45000000.0,124914842.0,Comedy,False
Sinbad: Legend of the Seven Seas,sinbad: legend of the seven seas,2003,60000000.0,26288320.0,"Family, Animation, Adventure",False
Terminator 3: Rise of the Machines,terminator 3: rise of the machines,2003,200000000.0,435000000.0,"Action, Thriller, Science Fiction",True
Swimming Pool,swimming pool,2003,7800000.0,22441323.0,"Thriller, Crime",False
Pirates of the Caribbean: The Curse of the Black Pearl,pirates of the caribbean: the curse of the black pearl,2003,140000000.0,655011224.0,"Adventure, Fantasy, Action",False
The League of Extraordinary Gentlemen,the league of extraordinary gentlemen,2003,78000000.0,179265204.0,"Fantasy, Action, Thriller, Science Fiction",False
Bad Boys II,bad boys ii,2003,130000000.0,273339556.0,"Adventure, Action, Comedy, Thriller, Crime",True
Johnny English,johnny english,2003,40000000.0,160583018.0,"Adventure, Action, Comedy",False
L'imbalsamatore,l'imbalsamatore,2002,,56878.0,"Foreign, Drama, Romance",False
Loose Cannons,loose cannons,1990,1500000.0,5585154.0,"Action, Comedy, Crime, Mystery, Thriller",False
Lara Croft Tomb Raider: The Cradle of Life,lara croft tomb raider: the cradle of life,2003,95000000.0,156505388.0,"Action, Adventure, Fantasy, Thriller",False
Seabiscuit,seabiscuit,2003,87000000.0,148336445.0,"Drama, History",True
Spy Kids 3-D: Game Over,spy kids 3-d: game over,2003,38000000.0,197011982.0,"Action, Adventure, Comedy, Family, Science Fiction",False
Buffalo Soldiers,buffalo soldiers,2001,15000000.0,,"Drama, Comedy, War, Crime, Thriller",False
Camp,camp,2003,,1628154.0,"Comedy, Music",False
"Lucía, Lucía","lucía, lucía",2003,2750000.0,,"Adventure, Drama, Comedy, Thriller, Crime, Romance, Foreign",False
Mondays in the Sun,mondays in the sun,2002,4000000.0,146402.0,Drama,False
Eve of Destruction,eve of destruction,1991,13000000.0,,"Action, Science Fiction",False
Kickboxer 2:  The Road Back,kickboxer 2:  the road back,1991,,1250712.0,"Action, Adventure",False
"Kiss Me, Stupid","kiss me, stupid",1964,3500000.0,,"Comedy, Romance",False
"One, Two, Three","one, two, three",1961,3000000.0,4000000.0,"Comedy, Family",False
The Private Life of Sherlock Holmes,the private life of sherlock holmes,1970,10000000.0,1500000.0,"Adventure, Comedy, Crime, Mystery, Romance, Thriller",False
Remo Williams: The Adventure Begins...,remo williams: the adventure begins...,1985,,14393902.0,"Comedy, Action, Adventure",False
The Blood of Heroes,the blood of heroes,1989,,882290.0,"Action, Adventure, Science Fiction",False
American Wedding,american wedding,2003,55000000.0,231449203.0,"Comedy, Romance",False
Gigli,gigli,2003,54000000.0,7266209.0,Drama,False
The Magdalene Sisters,the magdalene sisters,2002,,20957001.0,Drama,False
Freaky Friday,freaky friday,2003,26000000.0,110230332.0,Comedy,False
S.W.A.T.,s.w.a.t.,2003,80000000.0,116643346.0,"Action, Thriller, Crime",True
Le Divorce,le divorce,2003,,12991996.0,"Comedy, Drama, Romance",False
Freddy vs. Jason,freddy vs. jason,2003,30000000.0,114908830.0,Horror,False
Open Range,open range,2003,22000000.0,68296293.0,Western,False
Shaolin Soccer,shaolin soccer,2001,,42776760.0,"Action, Comedy",False
Uptown Girls,uptown girls,2003,20000000.0,37095657.0,Comedy,False
American Splendor,american splendor,2003,,6003587.0,"Comedy, Drama",False
Agent Cody Banks,agent cody banks,2003,28000000.0,58795814.0,Action,False
Changing Habits,changing habits,1997,1200000.0,,"Romance, Comedy, Drama",False
House of Wax,house of wax,1953,658000.0,23800000.0,"Crime, Horror, Mystery",False
Man's Best Friend,man's best friend,1993,6000000.0,12974636.0,"Horror, Science Fiction, Thriller",False
Of Unknown Origin,of unknown origin,1983,4000000.0,,Horror,False
Valley Girl,valley girl,1983,350000.0,17343596.0,"Comedy, Romance",False
Wait Until Dark,wait until dark,1967,4000000.0,11000000.0,"Horror, Crime, Thriller",False
Code Unknown,code unknown,2000,,95242.0,"War, Drama, Romance",False
Showdown in Little Tokyo,showdown in little tokyo,1991,8000000.0,2275557.0,"Action, Thriller",False
THX 1138,thx 1138,1971,777000.0,2437000.0,"Drama, Mystery, Science Fiction",False
Valley of the Dolls,valley of the dolls,1967,5000000.0,50000000.0,"Music, Drama, Romance",False
The Business of Fancydancing,the business of fancydancing,2002,200000.0,,"Music, Drama",False
Joe Kidd,joe kidd,1972,,6330000.0,Western,False
The Keep,the keep,1983,6000000.0,3661757.0,Horror,False
"The Beast from 20,000 Fathoms","the beast from 20,000 fathoms",1953,210000.0,5000000.0,"Adventure, Horror, Science Fiction",False
10,10,1979,,74865517.0,"Comedy, Romance",False
Tremors,tremors,1990,11000000.0,48572000.0,"Action, Horror",True
The Red Shoes,the red shoes,1948,500000.0,,"Drama, Romance",False
The Pink Panther,the pink panther,1963,,10878107.0,"Comedy, Crime",False
The Pink Panther Strikes Again,the pink panther strikes again,1976,6000000.0,33833201.0,"Comedy, Mystery",False
Commando,commando,1985,10000000.0,57500000.0,"Action, Adventure, Thriller",False
The Discreet Charm of the Bourgeoisie,the discreet charm of the bourgeoisie,1972,800000.0,,Comedy,False
Ikiru,ikiru,1952,,55240.0,Drama,False
"Ay, Carmela!","ay, carmela!",1990,,2000000.0,"Drama, Comedy, War",False
Live Nude Girls Unite!,live nude girls unite!,2000,,48752.0,Documentary,False
Earth,earth,1998,,528972.0,Drama,False
Fire,fire,1996,,501533.0,"Drama, Romance",False
Marci X,marci x,2003,20000000.0,1675706.0,Comedy,False
The Medallion,the medallion,2003,41000000.0,,"Thriller, Fantasy, Action, Comedy",False
My Boss's Daughter,my boss's daughter,2003,14000000.0,,"Comedy, Romance",True
The Battle of Shaker Heights,the battle of shaker heights,2003,1000000.0,,"Comedy, Drama, Romance",False
Don't Tempt Me,don't tempt me,2001,1200000.0,,Comedy,False
Jeepers Creepers 2,jeepers creepers 2,2003,17000000.0,63102666.0,"Horror, Thriller",False
Nola,nola,2003,,10550.0,"Comedy, Romance",False
Zero Day,zero day,2003,20000.0,,Drama,False
The Order,the order,2003,35000000.0,11560806.0,"Drama, Fantasy, Horror, Mystery, Romance, Thriller",False
Party Monster,party monster,2003,5000000.0,742898.0,"Comedy, Drama, Crime",False
Cabin Fever,cabin fever,2003,1500000.0,30553394.0,Horror,False
Matchstick Men,matchstick men,2003,62000000.0,65565672.0,"Comedy, Drama, Crime, Thriller",False
Once Upon a Time in Mexico,once upon a time in mexico,2003,29000000.0,98185582.0,Action,False
Lost in Translation,lost in translation,2003,4000000.0,119723856.0,Drama,False
Millennium Actress,millennium actress,2001,,37641.0,"Animation, Drama, Romance",False
Daisy Miller,daisy miller,1974,2000000.0,,"Drama, Romance",False
Gotcha!,gotcha!,1985,,8800000.0,"Action, Comedy, Thriller",False
Once Upon a Time in China,once upon a time in china,1991,,3826459.0,"Action, Drama",False
Once Upon a Time in China II,once upon a time in china ii,1992,,30399676.0,"Action, Comedy",False
Once Upon a Time in China III,once upon a time in china iii,1993,,27540561.0,Action,False
Sgt. Pepper's Lonely Hearts Club Band,sgt. pepper's lonely hearts club band,1978,18000000.0,,"Adventure, Music, Family",False
Convoy,convoy,1978,12000000.0,22765081.0,"Action, Comedy, Drama",False
Day of the Dead,day of the dead,1985,3500000.0,34000000.0,"Horror, Science Fiction",False
"Hello, Dolly!","hello, dolly!",1969,24000000.0,33208099.0,"Comedy, Family, Music, Romance",False
Memoirs of an Invisible Man,memoirs of an invisible man,1992,40000000.0,14358033.0,"Comedy, Fantasy, Science Fiction",False
The Rose,the rose,1979,9250000.0,29174648.0,"Drama, Music, Romance",False
"I, Madman","i, madman",1989,,151203.0,"Horror, Thriller",False
Once Bitten,once bitten,1985,3200000.0,10000000.0,"Horror, Comedy, Romance",False
Shrimp on the Barbie,shrimp on the barbie,1990,,458996.0,"Comedy, Romance",False
The Brood,the brood,1979,1355000.0,,"Horror, Science Fiction, Thriller",False
Cold Creek Manor,cold creek manor,2003,,21384035.0,"Mystery, Thriller",False
The Fighting Temptations,the fighting temptations,2003,15000000.0,30238577.0,"Comedy, Music, Romance",False
Underworld,underworld,2003,22000000.0,95708457.0,"Fantasy, Action, Thriller",True
Bubba Ho-tep,bubba ho-tep,2002,1000000.0,,"Comedy, Horror, Thriller, Mystery, Fantasy",False
Duplex,duplex,2003,40000000.0,19322135.0,"Action, Comedy, Thriller",False
The Rundown,the rundown,2003,85000000.0,80916492.0,"Adventure, Action, Comedy, Thriller",False
Under the Tuscan Sun,under the tuscan sun,2003,18000000.0,58878723.0,Romance,False
Mambo Italiano,mambo italiano,2003,4361898.0,3031801.0,"Comedy, Romance",False
My Life Without Me,my life without me,2003,,9726954.0,"Drama, Romance",False
To Be and to Have,to be and to have,2002,1000000.0,,Documentary,False
The Triplets of Belleville,the triplets of belleville,2003,8000000.0,1477676.0,"Adventure, Animation, Comedy, Drama",False
Videodrome,videodrome,1983,5952000.0,2120439.0,"Horror, Mystery, Science Fiction",False
Lagaan: Once Upon a Time in India,lagaan: once upon a time in india,2001,5200000.0,8100000.0,"Adventure, Drama, Music, Romance",False
Judgment at Nuremberg,judgment at nuremberg,1961,3000000.0,10000000.0,"Drama, History",False
"Same Time, Next Year","same time, next year",1978,118.0,19.0,"Comedy, Drama, Romance",False
The Rules of the Game,the rules of the game,1939,8847685.0,,"Drama, Comedy, Romance",False
Seven Brides for Seven Brothers,seven brides for seven brothers,1954,,5000000.0,"Comedy, Drama, Western, Music",False
All the President's Men,all the president's men,1976,8500000.0,70600000.0,"Drama, History, Mystery, Thriller",False
Avalon,avalon,2001,8000000.0,8826094.0,"Action, Science Fiction",False
Babette's Feast,babette's feast,1987,,4398938.0,"Comedy, Drama",False
The Barber of Siberia,the barber of siberia,1998,35000000.0,,"Comedy, Drama, Romance",False
Beethoven,beethoven,1992,,147214049.0,"Comedy, Family",True
Beethoven's 2nd,beethoven's 2nd,1993,15000000.0,118243066.0,"Family, Comedy",True
Black Moon Rising,black moon rising,1986,,6637565.0,"Science Fiction, Action, Thriller",False
Boyz n the Hood,boyz n the hood,1991,6500000.0,57504069.0,"Crime, Drama",False
Bugsy,bugsy,1991,30000000.0,49114016.0,"Drama, Crime",False
Cobra,cobra,1986,,49042224.0,"Action, Crime, Thriller",False
Consenting Adults,consenting adults,1992,18000000.0,21591728.0,"Crime, Drama, Mystery",False
Phenomena,phenomena,1985,3800000.0,,"Horror, Thriller",False
Crimewave,crimewave,1985,3000000.0,,"Thriller, Comedy, Crime",False
Crying Freeman,crying freeman,1995,6100000.0,,"Action, Crime",False
Where Eagles Dare,where eagles dare,1968,7700000.0,21000000.0,"Adventure, Drama, Action, History, War",False
Tightrope,tightrope,1984,,48143579.0,"Mystery, Thriller, Crime, Drama",False
Sleeping with the Enemy,sleeping with the enemy,1991,19000000.0,174999005.0,"Drama, Crime, Thriller",False
PCU,pcu,1994,9000000.0,4350774.0,Comedy,False
The Rookie,the rookie,1990,10000000.0,21633874.0,"Action, Crime, Drama, Thriller",False
The Ghost & Mr. Chicken,the ghost & mr. chicken,1966,700000.0,,"Comedy, Family, Mystery, Romance",False
City Heat,city heat,1984,25000000.0,38348988.0,"Action, Comedy, Crime",False
Into the Night,into the night,1985,11400000.0,6700000.0,"Comedy, Drama, Thriller",False
Three O'Clock High,three o'clock high,1987,,3685862.0,Comedy,False
A Rage in Harlem,a rage in harlem,1991,8000000.0,10400000.0,"Crime, Comedy",False
Ginger Snaps,ginger snaps,2000,5000000.0,,"Drama, Horror",False
More American Graffiti,more american graffiti,1979,2500000.0,15014674.0,"Comedy, Drama, War",False
Under Suspicion,under suspicion,1991,,221295.0,"Crime, Drama, Thriller",False
The Gun in Betty Lou's Handbag,the gun in betty lou's handbag,1992,13000000.0,3721911.0,"Comedy, Thriller, Mystery",False
The Debut,the debut,2000,1000000.0,,Drama,False
Article 99,article 99,1992,18000000.0,6375979.0,"Comedy, Drama",False
Eureka,eureka,1983,,123572.0,"Drama, Action, Thriller",False
Oleanna,oleanna,1994,,124693.0,Drama,False
Tough Guys Don't Dance,tough guys don't dance,1987,5000000.0,858250.0,"Drama, Comedy, Crime, Mystery, Thriller",False
There Goes My Baby,there goes my baby,1994,10500000.0,123509.0,"Drama, Comedy",False
Kingdom of the Spiders,kingdom of the spiders,1977,500000.0,17000000.0,"Horror, Science Fiction",False
Gas Food Lodging,gas food lodging,1992,,1345236.0,"Drama, Romance",False
In Cold Blood,in cold blood,1967,3500000.0,13007551.0,"Crime, Drama",False
Campus Man,campus man,1987,,989000.0,Comedy,False
Mobsters,mobsters,1991,23000000.0,20246790.0,"Drama, Action, Thriller, Crime",False
Out of Time,out of time,2003,50000000.0,55495563.0,"Thriller, Crime, Drama",False
School of Rock,school of rock,2003,35000000.0,131282949.0,"Comedy, Music",True
The Station Agent,the station agent,2003,500000.0,8679814.0,"Drama, Comedy",False
Wonderland,wonderland,2003,5000000.0,2466444.0,"Crime, Drama, Mystery, Thriller",False
Bus 174,bus 174,2002,,217201.0,"Documentary, Foreign",False
Mystic River,mystic river,2003,25000000.0,156822020.0,"Thriller, Crime, Drama, Mystery",True
Good Boy!,good boy!,2003,17000000.0,,"Comedy, Family, Science Fiction",False
House of the Dead,house of the dead,2003,7000000.0,13818181.0,"Horror, Action, Thriller",False
Intolerable Cruelty,intolerable cruelty,2003,60000000.0,119940815.0,"Crime, Comedy, Romance",False
Kill Bill: Vol. 1,kill bill: vol. 1,2003,30000000.0,180949000.0,"Action, Crime",True
Dopamine,dopamine,2003,,22278.0,"Comedy, Romance",False
Runaway Jury,runaway jury,2003,60000000.0,80154140.0,"Drama, Thriller",False
The Texas Chainsaw Massacre,the texas chainsaw massacre,2003,9500000.0,107071655.0,Horror,False
Pieces of April,pieces of april,2003,300000.0,,"Comedy, Drama",False
Sylvia,sylvia,2003,7000000.0,10000000.0,"Drama, Romance",False
Veronica Guerin,veronica guerin,2003,17000000.0,1569918.0,"Drama, Crime, Thriller",False
In the Cut,in the cut,2003,12000000.0,23.0,"Mystery, Thriller",True
Beyond Borders,beyond borders,2003,35000000.0,,"Drama, Romance, Adventure, War",False
Radio,radio,2003,32000000.0,52277485.0,Drama,False
Scary Movie 3,scary movie 3,2003,48000000.0,220673217.0,Comedy,False
Brother Bear,brother bear,2003,100000000.0,,"Adventure, Animation, Family",False
Elephant,elephant,2003,3000000.0,10012022.0,"Drama, Crime",False
The Italian Job,the italian job,1969,3000000.0,,"Action, Crime, Comedy, Thriller",False
Interstate 60,interstate 60,2002,7000000.0,,"Adventure, Comedy, Drama, Fantasy, Mystery",False
Holy Matrimony,holy matrimony,1994,,616938.0,Comedy,False
Captain Kronos: Vampire Hunter,captain kronos: vampire hunter,1974,400000.0,,"Adventure, Horror",False
Promised Land,promised land,1987,,316000.0,"Drama, Romance",False
Aparajito,aparajito,1956,,170215.0,Drama,False
The Human Stain,the human stain,2003,30000000.0,,"Drama, Thriller, Romance",False
"Die, Mommie, Die!","die, mommie, die!",2003,,320092.0,Comedy,False
Shattered Glass,shattered glass,2003,6000000.0,2944752.0,"Drama, History",False
The Matrix Revolutions,the matrix revolutions,2003,150000000.0,424988211.0,"Adventure, Action, Thriller, Science Fiction",True
Elf,elf,2003,32000000.0,173398518.0,"Comedy, Family, Fantasy",False
Gloomy Sunday,gloomy sunday,1999,,585604.0,"Romance, Drama",False
Love Actually,love actually,2003,40000000.0,244931766.0,"Comedy, Romance, Drama",False
Father of the Bride,father of the bride,1991,,89325780.0,"Comedy, Romance",False
Looney Tunes: Back in Action,looney tunes: back in action,2003,80000000.0,68514844.0,"Animation, Comedy, Family",False
Master and Commander: The Far Side of the World,master and commander: the far side of the world,2003,150000000.0,212011111.0,Adventure,False
Tupac: Resurrection,tupac: resurrection,2003,300000.0,7808524.0,"Music, Documentary",False
The Missing,the missing,2003,60000000.0,,"Thriller, Western, Adventure",False
Gothika,gothika,2003,40000000.0,141591324.0,"Horror, Thriller",True
21 Grams,21 grams,2003,20000000.0,60427839.0,"Drama, Crime, Thriller",False
The Barbarian Invasions,the barbarian invasions,2003,8000000.0,3432342.0,"Comedy, Crime, Drama",False
Bad Santa,bad santa,2003,23000000.0,76488889.0,"Drama, Comedy, Crime",False
The Haunted Mansion,the haunted mansion,2003,90000000.0,182290266.0,"Thriller, Fantasy, Comedy, Family, Mystery",False
Timeline,timeline,2003,80000000.0,43935763.0,"Action, Adventure, Science Fiction",False
Damage,damage,1992,,7532911.0,"Drama, Romance",False
Darkman,darkman,1990,16000000.0,48878502.0,"Action, Science Fiction, Crime",False
Death Machine,death machine,1994,,1422749.0,"Action, Horror, Science Fiction, Thriller",False
Final Analysis,final analysis,1992,,28590665.0,"Drama, Thriller, Romance",False
New Jack City,new jack city,1991,8500000.0,47624253.0,"Thriller, Crime, Drama",False
WarGames,wargames,1983,12000000.0,79567667.0,"Thriller, Science Fiction",False
Mr. Hobbs Takes a Vacation,mr. hobbs takes a vacation,1962,2000000.0,,"Family, Comedy",False
Forbidden Games,forbidden games,1952,,10188.0,"Drama, History",False
Ben-Hur: A Tale of the Christ,ben-hur: a tale of the christ,1925,3900000.0,9000000.0,"Adventure, Drama",False
The Cabinet of Dr. Caligari,the cabinet of dr. caligari,1920,18000.0,,"Drama, Horror, Thriller, Crime",False
Gorky Park,gorky park,1983,,16175602.0,"Thriller, Crime, Drama",False
The First Great Train Robbery,the first great train robbery,1979,6000000.0,,"Thriller, Adventure, Drama, Crime",False
"Greystoke: The Legend of Tarzan, Lord of the Apes","greystoke: the legend of tarzan, lord of the apes",1984,,45858563.0,"Adventure, Drama, Action, Romance",False
Guarding Tess,guarding tess,1994,20000000.0,,"Comedy, Drama, Thriller",False
Hannah and Her Sisters,hannah and her sisters,1986,6400000.0,40084041.0,"Comedy, Drama",False
The Hard Way,the hard way,1991,,65595485.0,"Action, Comedy, Crime",False
Highlander II: The Quickening,highlander ii: the quickening,1991,30000000.0,15556340.0,"Action, Fantasy, Science Fiction",False
Hoffa,hoffa,1992,35000000.0,,"Crime, History",False
Hudson Hawk,hudson hawk,1991,65000000.0,17218080.0,"Action, Adventure, Comedy",False
Invasion of the Body Snatchers,invasion of the body snatchers,1978,3500000.0,24046533.0,"Horror, Mystery, Science Fiction, Thriller",False
Kafka,kafka,1991,11000000.0,,"Comedy, Drama, Mystery",False
Kindergarten Cop,kindergarten cop,1990,15000000.0,201957688.0,Comedy,False
The Last Boy Scout,the last boy scout,1991,29000000.0,59509925.0,"Action, Thriller",True
Last Tango in Paris,last tango in paris,1972,1250000.0,36144000.0,"Drama, Romance",False
Lorenzo's Oil,lorenzo's oil,1992,,7286388.0,Drama,False
Mr. Destiny,mr. destiny,1990,20000000.0,15379253.0,"Fantasy, Comedy, Science Fiction, Romance",False
The Night of the Hunter,the night of the hunter,1955,795000.0,,"Thriller, Crime",False
Only the Lonely,only the lonely,1991,,21830957.0,"Comedy, Romance",False
Over the Top,over the top,1987,25000000.0,16057580.0,"Action, Drama",False
Passenger 57,passenger 57,1992,15000000.0,44065653.0,"Action, Adventure, Thriller",True
Presumed Innocent,presumed innocent,1990,22000000.0,221303188.0,"Drama, Thriller, Crime, Mystery",False
Project X,project x,1987,18000000.0,18532286.0,Drama,False
Proof,proof,1991,,524668.0,Drama,False
Pure Luck,pure luck,1991,17010000.0,24941969.0,"Comedy, Crime, Mystery",False
Battle Royale,battle royale,2000,4500000.0,25000000.0,"Drama, Thriller, Adventure",False
The Wedding Banquet,the wedding banquet,1993,1000000.0,6933459.0,"Comedy, Drama, Romance",False
Summer School,summer school,1987,,35114428.0,Comedy,False
Silverado,silverado,1985,26000000.0,,"Action, Crime, Drama, Western",False
Rabid,rabid,1977,530000.0,,Horror,False
Radio Flyer,radio flyer,1992,35000000.0,4651977.0,Drama,False
Revenge,revenge,1990,,15645616.0,"Thriller, Drama, Romance, Crime",False
The Secret of My Success,the secret of my success,1987,12000000.0,110996879.0,Comedy,False
Streets of Fire,streets of fire,1984,14500000.0,8089290.0,"Action, Thriller, Music",True
High Heels,high heels,1991,,1710057.0,"Comedy, Drama, Romance",False
To Live and Die in L.A.,to live and die in l.a.,1985,,17307019.0,"Action, Crime, Thriller",False
Trapped in Paradise,trapped in paradise,1994,,5777916.0,"Action, Comedy",False
Betty Blue,betty blue,1986,,2003822.0,"Drama, Romance",False
Vivre Sa Vie,vivre sa vie,1962,64000.0,24517.0,Drama,False
Wild at Heart,wild at heart,1990,9500000.0,14560247.0,"Comedy, Crime, Thriller",False
The Witches,the witches,1990,,15360553.0,"Adventure, Fantasy, Horror",False
The Witches of Eastwick,the witches of eastwick,1987,,63766510.0,"Fantasy, Horror, Comedy",False
Year of the Dragon,year of the dragon,1985,24000000.0,18707466.0,"Action, Crime, Drama, Thriller",False
Nothing to Lose,nothing to lose,1997,25000000.0,,"Action, Adventure, Comedy",False
Mary of Scotland,mary of scotland,1936,864000.0,1276000.0,"Drama, History",False
Swing Time,swing time,1936,886000.0,2600000.0,"Comedy, Music, Romance",False
Jesus Christ Superstar,jesus christ superstar,1973,,13200000.0,"Drama, History, Music",False
Birdman of Alcatraz,birdman of alcatraz,1962,2650000.0,3100000.0,Drama,False
Aguirre: The Wrath of God,aguirre: the wrath of god,1972,92000.0,,"Adventure, Drama, History",False
The Birth of a Nation,the birth of a nation,1915,100000.0,11000000.0,"Drama, History, War",False
Red River,red river,1948,3000000.0,9012000.0,Western,False
Stagecoach,stagecoach,1939,531374.0,1103757.0,"Adventure, Western",False
A Shot in the Dark,a shot in the dark,1964,,12368234.0,"Comedy, Crime",False
The Court Jester,the court jester,1955,4000000.0,,"Action, Adventure, Comedy, Family",False
Bullitt,bullitt,1968,5500000.0,42300873.0,"Action, Crime, Drama, Thriller",False
Jezebel,jezebel,1938,1250000.0,,"Drama, Romance",False
42nd Street,42nd street,1933,439000.0,2281000.0,"Music, Comedy, Romance",False
I'm No Angel,i'm no angel,1933,225000.0,2850000.0,"Comedy, Romance",False
A Passage to India,a passage to india,1984,8000000.0,27187653.0,"Drama, Adventure, History",False
Hero,hero,2002,31000000.0,177394432.0,"Drama, Adventure, Action, History",False
Anna Karenina,anna karenina,1935,1152000.0,1439000.0,"Drama, Romance",False
The Front Page,the front page,1974,4000000.0,,"Romance, Drama, Comedy",False
Looking for Mr. Goodbar,looking for mr. goodbar,1977,,22512655.0,"Drama, Thriller",False
Nausicaä of the Valley of the Wind,nausicaä of the valley of the wind,1984,1000000.0,3301446.0,"Adventure, Animation, Fantasy",False
Dragnet,dragnet,1987,20000000.0,66673516.0,"Action, Comedy, Crime",False
1941,1941,1979,35000000.0,31755742.0,"Action, Comedy",False
Crime Story,crime story,1993,,194720.0,"Thriller, Action, Crime, Drama",False
Accident,accident,1967,600000.0,,"Crime, Drama",False
Leprechaun,leprechaun,1993,900000.0,8556940.0,"Comedy, Horror, Thriller",False
Royal Space Force - The Wings Of Honneamise,royal space force - the wings of honneamise,1987,8000000.0,,"Animation, Science Fiction",False
Dark Wolf,dark wolf,2003,2500000.0,,Horror,False
Naked Lunch,naked lunch,1991,16000000.0,,"Crime, Drama",False
Run,run,1991,16000000.0,4409328.0,"Action, Thriller, Drama",False
Stolen Kisses,stolen kisses,1968,350000.0,,"Comedy, Drama, Romance",False
The Cooler,the cooler,2003,32000000.0,,"Drama, Romance",False
Honey,honey,2003,18000000.0,62646763.0,"Romance, Music, Family",False
The Last Samurai,the last samurai,2003,140000000.0,456758981.0,"Drama, Action, War, History",False
Big Fish,big fish,2003,70000000.0,122919055.0,"Adventure, Fantasy, Drama",False
Something's Gotta Give,something's gotta give,2003,80000000.0,266728738.0,"Drama, Comedy, Romance",True
Stuck on You,stuck on you,2003,55000000.0,33828318.0,Comedy,False
Girl with a Pearl Earring,girl with a pearl earring,2003,,31466789.0,"Drama, Romance",False
The Lord of the Rings: The Return of the King,the lord of the rings: the return of the king,2003,94000000.0,1118888979.0,"Adventure, Fantasy, Action",True
Mona Lisa Smile,mona lisa smile,2003,65000000.0,,"Drama, Romance",True
Calendar Girls,calendar girls,2003,10000000.0,96542059.0,Comedy,False
The Hebrew Hammer,the hebrew hammer,2003,1000000.0,,"Action, Comedy",False
House of Sand and Fog,house of sand and fog,2003,16500000.0,16942795.0,Drama,False
Monster,monster,2003,8000000.0,60378584.0,"Crime, Drama",False
Cheaper by the Dozen,cheaper by the dozen,2003,40000000.0,190212113.0,Comedy,False
Cold Mountain,cold mountain,2003,79000000.0,173013509.0,Drama,True
Paycheck,paycheck,2003,60000000.0,96269812.0,"Action, Adventure, Mystery, Science Fiction, Thriller",False
Peter Pan,peter pan,2003,100000000.0,121975011.0,"Adventure, Fantasy, Family",False
The Company,the company,2003,15000000.0,2281585.0,Drama,False
Secret Things,secret things,2002,,105090.0,Drama,False
Chasing Liberty,chasing liberty,2004,23000000.0,12.0,"Comedy, Romance",False
My Baby's Daddy,my baby's daddy,2004,,51.0,Comedy,False
Along Came Polly,along came polly,2004,42000000.0,171963386.0,"Comedy, Romance",False
Teacher's Pet,teacher's pet,2004,10000000.0,,"Animation, Drama, Family, Music",False
Torque,torque,2004,40000000.0,46546197.0,Action,False
Osama,osama,2003,46000.0,,Drama,False
The Great Gatsby,the great gatsby,1974,6500000.0,26533200.0,"Drama, Romance",False
"Car 54, Where Are You?","car 54, where are you?",1994,10700000.0,1238080.0,"Action, Comedy",False
Only the Strong,only the strong,1993,6000000.0,3283371.0,Action,False
The Adventures of Ford Fairlane,the adventures of ford fairlane,1990,49000000.0,20423389.0,"Action, Comedy, Thriller, Crime, Mystery",False
The Pick-up Artist,the pick-up artist,1987,15000000.0,13290368.0,"Romance, Comedy, Crime, Drama",False
